Date,VWCE.DE,CSPX.L,IWDA.L,EIMI.L,IFSW.L,IWMO.L,WSML.L,IWVL.L,QQQ,VGT,AAPL,MSFT,NVDA,GOOGL,AMZN,TLT,GLD,VNQ,SSO,QLD,BRK-B,VT,ACWI
2011-11-18,,105.73500061035156,26.56999969482422,,,,,,48.74589538574219,6.698530673980713,11.223986625671387,19.72632598876953,0.31889861822128296,14.756040573120117,9.857000350952148,79.71472930908203,167.6199951171875,30.888019561767578,2.530043840408325,1.225374460220337,75.37000274658203,30.827043533325195,30.86676597595215
2011-11-21,,102.97000122070312,26.56999969482422,,,,,,47.813209533691406,6.570318698883057,11.046470642089844,19.49241828918457,0.3349236845970154,14.410259246826172,9.462499618530273,80.18901062011719,163.5,30.10732078552246,2.4330458641052246,1.1789606809616089,74.31999969482422,30.122392654418945,30.097126007080078
2011-11-22,,102.70999908447266,26.56999969482422,,,,,,47.97160339355469,6.545327663421631,11.270991325378418,19.328691482543945,0.34522557258605957,14.386942863464355,9.616999626159668,81.08406066894531,165.30999755859375,29.967912673950195,2.412717342376709,1.1849145889282227,74.36000061035156,30.079681396484375,30.037933349609375
2011-11-23,,101.03500366210938,26.56999969482422,,,,,,46.88933181762695,6.381260871887207,10.986001014709473,19.07918357849121,0.33057406544685364,14.141619682312012,9.44950008392334,81.87891387939453,164.8300018310547,29.06451416015625,2.307589292526245,1.1313257217407227,72.75,29.28960418701172,29.334884643554688
2011-11-24,,100.70999908447266,24.989999771118164,,,,,,,,,,,,,,,,,,,,
2011-11-25,,101.41999816894531,25.079999923706055,,,,,,46.52857208251953,6.344317436218262,10.883623123168945,18.946638107299805,0.321416974067688,13.965256690979004,9.119999885559082,80.68998718261719,163.39999389648438,29.19277572631836,2.2959728240966797,1.1149898767471313,72.88999938964844,29.197072982788086,29.19429588317871
2011-11-28,,103.76499938964844,25.809999465942383,,,,,,48.1475715637207,6.561626434326172,11.25931167602539,19.391063690185547,0.339502215385437,14.590096473693848,9.707500457763672,80.64986419677734,166.6300048828125,29.845226287841797,2.429560899734497,1.1916320323944092,75.4800033569336,30.293214797973633,30.282133102416992
2011-11-29,,104.1500015258789,25.959999084472656,,,,,,47.84840393066406,6.522511005401611,11.171899795532227,19.3676700592041,0.34133368730545044,14.459622383117676,9.419500350952148,79.98863220214844,166.8800048828125,29.800615310668945,2.4429192543029785,1.1774338483810425,75.12999725341797,30.39998435974121,30.400545120239258
2011-11-30,,107.375,26.850000381469727,,,,,,49.616981506347656,6.786539554595947,11.441319465637207,19.94464683532715,0.35781657695770264,14.867911338806152,9.614500045776367,78.73951721191406,170.1300048828125,31.189157485961914,2.6444642543792725,1.264305830001831,78.76000213623047,31.79506492614746,31.85841178894043
2011-12-01,,107.80999755859375,26.8700008392334,,,,,,49.960147857666016,6.821310520172119,11.6128511428833,19.71073341369629,0.36216628551483154,15.224609375,9.856499671936035,78.34439849853516,169.6300048828125,30.9326229095459,2.6456246376037598,1.2820159196853638,77.80999755859375,31.652708053588867,31.754812240600586
2011-12-02,,108.9000015258789,27.09000015258789,,,,,,49.819366455078125,6.823484420776367,11.6658353805542,19.66394805908203,0.3598769009113312,15.388075828552246,9.80150032043457,79.442626953125,169.82000732421875,30.904752731323242,2.6421408653259277,1.2727032899856567,77.44000244140625,31.638471603393555,31.7399959564209
